Cuerpo,"r0 (x,y)","v0 (x,y)","a0 (x,y)","rf (x,y)","vf (x,y)","af (x,y)",Metodo
Cuerpo 1,[1.e+08 0.e+00],[     0. 100000.],[-0. -0.],[1.e+08 1.e+06],[    -0. 100000.],[-0. -0.],Def
Cuerpo 2,[-1.e+08  0.e+00],[    0. -1000.],[ 0.16675 -0.     ],[-9.99999917e+07 -9.99998597e+03],[   1.667479 -999.99579 ],[0.166744 0.000842],Def
Cuerpo 3,[     0. 150000.],[0. 0.],[ 0.666998 -0.001   ],[3.33462230e+01 1.50000061e+05],[6.669796 0.02334 ],[0.666928 0.005669],Def
Cuerpo 4,[-5.1e+12 -1.5e+15],[0. 0.],[0. 0.],[-5.1e+12 -1.5e+15],[0. 0.],[0. 0.],Def
Cuerpo 1,[1.e+08 0.e+00],[     0. 100000.],[-0. -0.],[1.e+08 1.e+06],[    -0. 100000.],[-0. -0.],TPC
Cuerpo 2,[-1.e+08  0.e+00],[    0. -1000.],[ 0.16675 -0.     ],[-9.99999917e+07 -9.99998597e+03],[   1.667479 -999.99579 ],[0.166744 0.000842],TPC
Cuerpo 3,[     0. 150000.],[0. 0.],[ 0.666998 -0.001   ],[3.33495580e+01 1.50000061e+05],[6.669796 0.02334 ],[0.666928 0.005669],TPC
Cuerpo 4,[-5.1e+12 -1.5e+15],[0. 0.],[0. 0.],[-5.1e+12 -1.5e+15],[0. 0.],[0. 0.],TPC
Cuerpo 1,[1.e+08 0.e+00],[     0. 100000.],[-0. -0.],[1.e+08 1.e+06],[    -0. 100000.],[-0. -0.],TPA
Cuerpo 2,[-1.e+08  0.e+00],[    0. -1000.],[ 0.16675 -0.     ],[-9.99999917e+07 -9.99998597e+03],[   1.667479 -999.99579 ],[0.166744 0.000842],TPA
Cuerpo 3,[     0. 150000.],[0. 0.],[ 0.666998 -0.001   ],[3.33428880e+01 1.50000061e+05],[6.669796 0.02334 ],[0.666928 0.005669],TPA
Cuerpo 4,[-5.1e+12 -1.5e+15],[0. 0.],[0. 0.],[-5.1e+12 -1.5e+15],[0. 0.],[0. 0.],TPA
